channel_id,talk_id,ts,thread_ts,talk_user,text,date
CHHRNNY4E,2fc6e378-9d8c-4892-a78e-2f72db20d34f,1554181396.0001,,UGQV9DXRC,,2019-04-01
CHHRNNY4E,616de396-cd76-4461-a114-ed35e312f34f,1558074785.0003,,UGQ2ENZD0,<https://link.springer.com/journal/volumesAndIssues/10902>,2019-05-16
CHHRNNY4E,67cc8628-0665-4f4e-9e49-898af274b8be,1562990593.0001,,UHEH8KZ7W,,2019-07-12
CHHRNNY4E,f6f42eeb-f914-461f-b134-24f4c8d2b833,1558083666.0029,,UHFLB6JPR,"読みたい論文あれば教えてください
PDFがたぶんとれるから
1つ400円だけど
その事実を知ってくれていれば、遠慮は不要",2019-05-17
CHHRNNY4E,3f12c3fb-ff35-4084-961b-6effaf2522e1,1558091228.0004,,UHEH8KZ7W,了解です！ありがとうございます！,2019-05-17
CHHRNNY4E,97873040-0766-403f-8166-94eb6b61a0a8,1560824161.002,,UHEH8KZ7W,2019/06/18,2019-06-17
CHHRNNY4E,9651d621-2dad-41bc-b683-149e62715148,1560824240.0023,,UHEH8KZ7W,,2019-06-17
CHHRNNY4E,bb96fdda-e95b-4726-ba04-dc85d0bb6d43,1559538656.0022,,UHEH8KZ7W,"OECD databaseに資料あり
幸福度の算出はされておらず、国ごとの過去と比較、横の比較は平均を出してその上か下かで判断",2019-06-02
CHHRNNY4E,6e5c805e-5ff4-4027-a90f-6f94d8267adb,1554696282.0002,,UHEH8KZ7W,2019/04/08,2019-04-07
CHHRNNY4E,df557de1-f50b-4038-947e-55ea74bab8e7,1554696293.0005,,UHEH8KZ7W,,2019-04-07
CHHRNNY4E,5a7de87d-7901-4349-98ff-bf7ce32ea146,1554696296.0008,,UHEH8KZ7W,,2019-04-07
CHHRNNY4E,ca68b27f-3533-4a67-90d1-77e4315989ce,1561191898.0002,1561191898.0002,UHFLB6JPR,<https://www.city.kusatsu.shiga.jp/shisei/kenkyu/chousakenkyu/24nendohokoku.files/51b675f2011.pdf>,2019-06-22
